number,value,params_bootstrap,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
0,0.5042452299733854,False,4,0.67049278646295,7,17,116,COMPLETE
1,0.5107775424522998,True,4,0.5756875149189754,7,23,233,COMPLETE
2,0.506431101698092,False,11,0.5648609038648522,5,5,336,COMPLETE
3,0.5043872062075946,True,14,0.5112783496467546,9,23,482,COMPLETE
4,0.5088845259961765,True,12,0.94878653181432,8,6,346,COMPLETE
5,0.5077585560595269,True,14,0.9178054554170612,9,3,221,COMPLETE
6,0.5054302395321812,False,10,0.42337806016164187,12,5,380,COMPLETE
7,0.5053843198260674,True,8,0.680544414888306,3,2,243,COMPLETE
8,0.5038980207669529,True,7,0.47508551121590814,9,22,330,COMPLETE
9,0.5053522228886307,False,7,0.49460634058244135,1,24,233,COMPLETE
10,0.509328260299134,True,3,0.308951393981177,12,12,111,COMPLETE
11,0.508146999287776,True,3,0.3170469598516357,12,12,120,COMPLETE
12,0.507749653259362,True,5,0.3164188635092905,5,12,179,COMPLETE
13,0.5023620534542865,True,5,0.7851363323544419,11,17,175,COMPLETE
14,0.509224706676163,True,3,0.7787525812556675,5,9,265,COMPLETE
15,0.5073415301570642,True,6,0.3830781505448977,10,16,158,COMPLETE
16,0.5089529369869176,True,3,0.5950500431017656,3,20,426,COMPLETE
17,0.5074778835701166,True,5,0.7635538455526184,7,9,277,COMPLETE
18,0.4977297859579413,False,9,0.40142566301815263,11,14,212,COMPLETE
19,0.5098905424148142,True,4,0.5841888198196328,1,20,141,COMPLETE
20,0.5081484049930651,True,6,0.6027266767155065,1,20,154,COMPLETE
21,0.5142182404318327,True,4,0.8657695978668636,3,20,107,COMPLETE
22,0.5154182441803801,True,4,0.8824184024445828,3,20,102,COMPLETE
23,0.5110029238670015,True,4,0.8827528324632388,3,21,194,COMPLETE
24,0.505283109045245,True,6,0.8764491077124618,4,19,190,COMPLETE
